Marca,Modelo,Fecha_Publicacion,Peso_Mujer,Peso_Hombre,Precio,Drop,Perfil_Anterior,Perfil_Posterior,taco,terreno_categoria,distancia_categoria,corredor_categoria,durabilidad_categoria,upper_categoria,mediasuela_categoria,suela_categoria,placa
Inov-8,Roclite 290,2017-03-06,286.0,286.0,135.0,,,,,Polivalente,Larga,Medio,Alta,Tela,EVA Convencional,,Antirrocas
Haglöfs,Gram Gravel GT,2017-02-19,412.0,412.0,135.0,,,,,Polivalente,Larga,Medio,Alta,Membrana,EVA Convencional,,
Hoka,Tor Speed 2 Mid WP,2017-02-15,371.0,371.0,160.0,,,,5.0,Polivalente,Larga,Pesado,Alta,,EVA Convencional,Vibram,
Scott,Kinabalu RC,2017-02-12,250.0,250.0,160.0,,,,,Fácil/Rodador,Media,Ligero,Media,Malla,EVA Convencional,,
The North Face,Ultra MT Winter,2017-02-10,349.0,349.0,150.0,,,,,Barro/Blando,Maratón,Medio,Alta,,,Vibram,TPU
Scott,Supertrac RC,2017-01-26,253.0,253.0,144.95,,,,,Barro/Blando,Corta,Ligero,Baja,Malla,EVA Convencional,,
Skechers,GOtrail,2017-01-18,249.0,249.0,,,,,50.0,Polivalente,Media,Ligero,Alta,Hilo,,,
Scarpa,Neutron G,2017-01-17,399.0,399.0,209.0,,,,6.0,Barro/Blando,Media,Medio,Alta,Hilo,,Vibram,
Arc'teryx,Norvan VT,2017-01-10,324.0,324.0,165.0,,,,4.0,Técnico,Maratón,Medio,Alta,Keblar,EVA Convencional,Vibram,
Adidas,Kanadia TR 8,2017-01-09,337.0,337.0,89.95,,,,4.0,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,Adidas Traxion,Antirrocas
Hoka,Speed Instinct,2017-01-08,296.0,296.0,120.0,,,,,Fácil/Rodador,Maratón,Medio,Alta,Malla,,,
Merrell,Moab FST Gore-Tex,2017-01-05,411.0,411.0,145.0,,,,5.0,Polivalente,Larga,Pesado,Alta,Membrana,,Vibram,
Raidlight,Dynamic Ultra,2016-12-22,274.0,274.0,140.0,,,,6.0,Polivalente,Larga,Ligero,Media,,EVA Convencional,,
Hi-Tec,Accelerate WP,2016-12-19,466.0,466.0,,,,,,Polivalente,Larga,Pesado,Media,,,,
Adidas,Terrex Trailmaker,2016-12-15,345.0,345.0,109.95,,,,4.0,Técnico,Maratón,Medio,Alta,Tela,EVA Convencional,Continental,Antirrocas
Raidlight,Ultramax V1.0,2016-12-12,345.0,345.0,150.0,,,,6.0,Polivalente,Ultra,Pesado,Baja,,EVA Convencional,,
Salomon,SpeedCross 4,2016-11-27,289.0,289.0,130.0,,,,,Barro/Blando,Media,Medio,Media,Hilo,EVA Convencional,Salomon Contagrip,
Altra,Lone Peak 3.0,,284.0,284.0,140.0,,,,,Fácil/Rodador,Ultra,Medio,Alta,,EVA Convencional,Altra Trailclaw,
Adidas,Terrex Agravic,2016-11-21,329.0,329.0,,,,,,Técnico,Media,Medio,Media,Malla,EVA Convencional,Continental,
Saucony,Xodus ISO,2016-11-20,288.0,288.0,,,,,6.0,Polivalente,Ultra,Pesado,Baja,,TPU,Saucony Pwrtrac,
Salomon,S-Lab Wings 8 Softground,2016-11-17,294.0,294.0,,,,,6.0,Barro/Blando,Larga,Medio,Alta,Hilo,EVA Convencional,Salomon Contagrip,
Inov-8,X-Claw 275,2016-11-16,291.0,291.0,,,,,,Barro/Blando,Larga,Medio,Alta,Tela,EVA Convencional,,
Inov-8,X-Talon 225,2016-11-08,268.0,268.0,130.0,,,,,Barro/Blando,Maratón,Ligero,Media,Malla,EVA Convencional,,
New Balance,Fresh Foam Gobi,2016-11-07,231.0,231.0,100.0,,,,,Polivalente,Larga,Ligero,Media,Hilo,EVA Modificada (OBC/Goma),,
Mizuno,Wave Daichi,2016-11-06,309.0,309.0,120.0,,,,,Polivalente,Media,Medio,Media,Malla,,Michelin,Antirrocas
New Balance,910v3,2016-11-03,345.0,345.0,115.0,,,,,Polivalente,Ultra,Medio,Alta,,,,
Mizuno,Wave Kien 3,2016-11-02,266.0,266.0,95.0,,,,,Fácil/Rodador,Media,Ligero,Baja,,EVA Convencional,,
Reebok,All Terrain Super OR,2016-10-31,228.0,228.0,,,,,6.0,Barro/Blando,Media,Medio,Alta,Keblar,EVA Convencional,,Antirrocas
Mizuno,Wave Mujin 3 GTX,2016-10-27,474.0,474.0,150.0,,,,3.0,Polivalente,Ultra,Medio,Alta,Membrana,,Michelin,
Salomon,S-Lab SpeedCross,2016-10-25,313.0,313.0,,,,,5.0,Barro/Blando,Media,Ligero,Media,,EVA Convencional,Salomon Contagrip,Antirrocas
Scott,Kinabalu Enduro,2016-10-22,416.0,416.0,139.95,,,,,Fácil/Rodador,Ultra,Pesado,Alta,Malla,EVA Convencional,Vibram,Antirrocas
Salomon,S-Lab Wings 8,2016-10-20,270.0,270.0,,,,,,Polivalente,Ultra,Medio,Alta,,EVA Convencional,Salomon Contagrip,
On,Cloudventure,2016-10-17,250.0,310.0,159.95,6.0,,,,Compacto/Roca,Media,Ligero,Baja,Malla,EVA Convencional,,
La Sportiva,Helios 2.0,2016-10-16,260.0,260.0,130.0,,,,,Fácil/Rodador,Corta,Ligero,Media,Malla,EVA Convencional,La Sportiva Frixion,Antirrocas
New Balance,Vazee Summit,2016-10-15,245.0,245.0,120.0,,,,,Fácil/Rodador,Maratón,Ligero,Media,Malla,,Saucony Hydrohesion,Antirrocas
Salomon,SpeedCross 4 W,2016-10-12,264.0,264.0,130.0,,,,,Barro/Blando,Media,Ligero,Alta,Tela,EVA Convencional,Salomon Contagrip,Antirrocas
Merrell,All Out Crush Light,2016-10-11,227.0,227.0,100.0,,,,,Barro/Blando,Corta,Ligero,Baja,Malla,EVA Convencional,,
Inov-8,TrailTalon 275,2016-10-10,337.0,337.0,,,,,4.0,Técnico,Ultra,Medio,Alta,Tela,EVA Convencional,,
La Sportiva,Bushido W,2016-10-09,247.0,247.0,,,,,,Técnico,Media,Medio,Media,Malla,EVA Convencional,La Sportiva Frixion,
Asics,Gel Fuji Attack 5,2016-10-08,316.0,316.0,,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Bio/Orgánica,Asics AHAR,
Mizuno,Wave Mujin 3,2016-10-06,360.0,360.0,140.0,,,,,Técnico,Ultra,Medio,Alta,Malla,EVA Convencional,Michelin,Antirrocas
Inov-8,TrailTalon 250,2016-10-05,276.0,276.0,,,,,,Compacto/Roca,Media,Ligero,Media,Malla,EVA Convencional,,
Tecnica,Inferno X-Lite 3.0,2016-10-03,320.0,320.0,,,,,,Fácil/Rodador,Ultra,Medio,Alta,,EVA Convencional,Vibram,
Salomon,SpeedCross Pro,2016-10-02,308.0,308.0,149.0,,,,5.0,Barro/Blando,Maratón,Pesado,Alta,Tela,EVA Convencional,Salomon Contagrip,
Brooks,Mazama,2016-09-28,281.0,281.0,,,,,,Compacto/Roca,Media,Ligero,Baja,,EVA Bio/Orgánica,,Antirrocas
Scott,T2 Kinabalu 3.0,2016-09-25,375.0,375.0,135.95,,,,,Polivalente,Larga,Medio,Alta,Tela,EVA Convencional,,Antirrocas
Adidas,Trail Rocker,2016-09-22,297.0,297.0,75.0,,,,,Fácil/Rodador,Media,Pesado,Alta,,EVA Convencional,Continental,
Mammut,MTR 201 II Boa Low,2016-09-20,362.0,362.0,179.0,,,,,Compacto/Roca,Ultra,Medio,Alta,,EVA Convencional,Mammut Gripex,
New Balance,Leadville v3,2016-09-17,283.0,283.0,130.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,
Tecnica,Inferno X-Lite 3.0 W,2016-09-14,236.0,236.0,,,,,,Polivalente,Media,Medio,Media,,EVA Convencional,Vibram,Antirrocas
Mammut,MTR 201 II Max Low,2016-09-13,351.0,351.0,160.0,,,,,Fácil/Rodador,Ultra,Medio,Alta,,EVA Convencional,Mammut Gripex,
Salewa,Ultra Train,2016-09-12,358.0,358.0,150.0,,,,,Polivalente,Larga,Medio,Media,Hilo,EVA Convencional,Michelin,
Asics,Gel Fuji Endurance,2016-09-08,338.0,338.0,180.0,,,,3.0,Polivalente,Ultra,Pesado,Baja,,EVA Convencional,,
Newton Running,Boco SOL,2016-09-06,270.0,270.0,,,,,3.0,Fácil/Rodador,Media,Medio,Baja,Hilo,EVA Convencional,Newton,
Dynafit,Feline Ultra,2016-09-05,338.0,338.0,145.0,,,,,Técnico,Ultra,Pesado,Media,,EVA Convencional,Vibram,Antirrocas
Merrell,All Out Terra Light,2016-09-01,272.0,272.0,130.0,,,,6.0,Técnico,Maratón,Medio,Alta,Tela,EVA Convencional,Vibram,
The North Face,Ultra Endurance,2016-08-31,328.0,328.0,,,,,,Técnico,Ultra,Medio,Media,Malla,EVA Convencional,Vibram,
Saucony,Peregrine 6,2016-08-21,299.0,299.0,,,,,,Polivalente,Larga,Ligero,Baja,,EVA Convencional,Saucony Pwrtrac,Antirrocas
Salewa,Lite Train,2016-08-19,278.0,278.0,140.0,,,,,Barro/Blando,Corta,Ligero,Media,,,Michelin,
Asics,Gel Fuji Runnegade 2,2016-08-04,285.0,285.0,110.0,,,,10.0,Barro/Blando,Corta,Ligero,Baja,,EVA Bio/Orgánica,,
Skechers,GOtrail Ultra 3,2016-07-26,286.0,286.0,,,,,,Fácil/Rodador,Ultra,Medio,Alta,,EVA Convencional,,
Kalenji,Kiprun Trail XT6,2016-07-17,409.0,409.0,79.99,,,,,Barro/Blando,Media,Medio,Alta,Malla,EVA Convencional,Decathlon Essensole,
Tecnica,Rush E-Lite 2.0,2016-07-05,295.0,295.0,,,,,,Fácil/Rodador,Larga,Medio,Alta,Hilo,EVA Convencional,Joma Tecnigrip,
Salomon,S-Lab Sense 5 Ultra Softground,2016-07-03,266.0,266.0,180.0,,,,,Barro/Blando,Ultra,Ligero,Alta,,EVA Convencional,Salomon Contagrip,
Asics,Fuji Trabuco 5,2016-06-30,326.0,326.0,,,,,,Polivalente,Ultra,Medio,Media,Malla,EVA Bio/Orgánica,,
Scott,Kinabalu RC 2016,2016-06-26,309.0,309.0,119.95,,,,,Fácil/Rodador,Media,Medio,Baja,Malla,EVA Convencional,,
Mammut,MTR 201 Dyneema Tech Low,2016-06-22,283.0,283.0,200.0,,,,,Compacto/Roca,Ultra,Medio,Alta,Keblar,EVA Convencional,,
New Balance,Vazee Summit W,2016-06-20,214.0,214.0,120.0,,,,4.0,Barro/Blando,Media,Ligero,Alta,Aislamiento,,Saucony Hydrohesion,Antirrocas
Reebok,All Terrain Thrill,2016-06-18,325.0,325.0,,,,,,Barro/Blando,Media,Medio,Alta,,EVA Convencional,,
Salming,Elements,2016-06-11,273.0,273.0,125.0,,,,8.0,Polivalente,Maratón,Medio,Alta,,EVA Convencional,Salming TOC66,Antirrocas
Scarpa,Atom,2016-06-08,280.0,280.0,,,,,,Técnico,Corta,Ligero,Baja,Tela,,Vibram,
Adidas,Supernova Riot W,2016-06-05,273.0,273.0,140.0,,,,,Barro/Blando,Media,Medio,Alta,Malla,TPU,Continental,
Haglöfs,Gram Pulse,2016-06-01,319.0,319.0,,,,,,Barro/Blando,Media,Medio,Media,,EVA Convencional,,
Scarpa,Proton,2016-05-29,396.0,396.0,,,,,,Fácil/Rodador,Ultra,Pesado,Alta,,EVA Convencional,Vibram,
Montrail,Trans Alps,2016-05-23,418.0,418.0,130.0,,,,6.0,Polivalente,Larga,Pesado,Alta,Hilo,EVA Convencional,,
Hi-Tec,Sensor Trail Lite,2016-05-22,271.0,271.0,49.9,,,,,Fácil/Rodador,Maratón,Medio,Baja,,EVA Convencional,,Antirrocas
Topo Athletic,MT2,2016-05-17,262.0,262.0,113.8,,,,,Polivalente,Maratón,Ligero,Alta,Tela,EVA Convencional,,
Montrail,FluidFlex FKT,2016-05-02,327.0,327.0,120.0,,,,,Fácil/Rodador,Media,Ligero,Media,Malla,EVA Convencional,Columbia Gryptonite,
New Balance,WT 910v2,2016-04-27,262.0,262.0,110.0,,,,,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,,
Adidas,Supernova Riot,2016-04-24,358.0,358.0,140.0,,,,,Polivalente,Larga,Medio,Alta,Malla,TPU,Continental,
La Sportiva,Akasha,2016-04-18,310.0,310.0,149.99,6.0,31.0,25.0,,Polivalente,Ultra,Medio,Media,,,La Sportiva Frixion,
New Balance,Leadville v3 W,2016-04-13,266.0,266.0,130.0,,,,4.0,Compacto/Roca,Ultra,Medio,Alta,Malla,,Vibram,
Salomon,Wings Pro 2,2016-04-10,382.0,382.0,,,,,3.0,Técnico,Ultra,Ligero,Alta,Malla,EVA Convencional,Salomon Contagrip,
Montrail,Bajada II,2016-04-07,313.0,313.0,,,,,,Fácil/Rodador,Larga,Medio,Media,Tela,EVA Convencional,Columbia Gryptonite,Antirrocas
Salomon,S-Lab Sense 5 Ultra,2016-04-04,240.0,240.0,,,,,,Compacto/Roca,Maratón,Ligero,Media,Malla,EVA Convencional,Salomon Contagrip,
Salomon,Speedcross Pro W,2016-03-30,287.0,287.0,149.0,,,,,Barro/Blando,Maratón,Ligero,Alta,Tela,EVA Convencional,Salomon Contagrip,Antirrocas
Brooks,PureGrit 4,2016-03-29,285.0,285.0,130.0,,,,3.0,Compacto/Roca,Media,Medio,Baja,,EVA Bio/Orgánica,Blown Rubber (Caucho Expandido),Antirrocas
Joma,Olimpo,2016-03-26,368.0,368.0,74.03,,,,,Polivalente,Maratón,Pesado,Alta,Malla,EVA Convencional,,Vidrio
New Balance,610v5,2016-03-21,357.0,357.0,75.0,,,,,Polivalente,Media,Medio,Alta,,EVA Convencional,,
Altra,Lone Peak 2.0 NeoShell,2016-03-16,381.0,381.0,,,,,,Barro/Blando,Larga,Medio,Media,Tela,EVA Convencional,,Antirrocas
Raidlight,Team R-Light 004,2016-03-14,327.0,327.0,135.0,,,,6.0,Compacto/Roca,Ultra,Medio,Alta,,EVA Convencional,,TPU
Mizuno,Wave Hayate 2,2016-03-07,259.0,259.0,,,,,5.0,Polivalente,Corta,Ligero,Alta,Malla,,,Antirrocas
Haglöfs,GRAM AM II GT,2016-03-03,318.0,318.0,145.0,,,,,Barro/Blando,Maratón,Ligero,Alta,Membrana,EVA Bio/Orgánica,Asics AHAR,
Brooks,Cascadia 11,2016-03-01,333.0,333.0,140.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Bio/Orgánica,Compuesto Ecológico (Green),Antirrocas
Mizuno,Wave Kazan 2,2016-02-29,277.0,277.0,,,,,,Polivalente,Media,Pesado,Alta,Malla,,,Antirrocas
Haglöfs,Gram XC II,2016-02-28,330.0,330.0,125.0,,,,,Polivalente,Larga,Medio,Alta,,,,
Saucony,Nomad TR W,2016-02-23,231.0,231.0,120.0,,,,,Polivalente,Media,Medio,Alta,,EVA Convencional,Saucony Pwrtrac,
Mizuno,Wave Mujin 2,2016-02-22,350.0,350.0,,,,,,Polivalente,Larga,Pesado,Alta,,,,Antirrocas
The North Face,Ultra Cardiac,2016-02-16,267.0,267.0,120.0,,,,,Fácil/Rodador,Ultra,Medio,Media,,,Vibram,
New Balance,MT 910v2,2016-02-15,338.0,338.0,,,,,,Fácil/Rodador,Ultra,Pesado,Alta,Malla,EVA Convencional,Vibram,
La Sportiva,Crossover 2.0 GTX,2016-02-14,346.0,346.0,199.99,10.0,,,,Barro/Blando,Larga,Medio,Alta,Malla,EVA Convencional,La Sportiva Frixion,
Columbia,Ventrailia OutDry,2016-02-13,337.0,337.0,109.95,,,,,Polivalente,Media,Medio,Alta,Tela,EVA Convencional,Columbia Omni-Grip,
The North Face,Ultra MT GTX,2016-02-10,355.0,355.0,140.0,,,,,Barro/Blando,Larga,Medio,Media,Membrana,EVA Convencional,Vibram,
Hoka,Speedgoat W,2016-02-08,245.0,245.0,130.0,,,,4.0,Técnico,Ultra,Medio,Alta,Hilo,EVA Convencional,Vibram,
Columbia,Ventfreak OutDry,2016-02-07,368.0,368.0,109.95,,,,,Fácil/Rodador,Larga,Medio,Baja,,EVA Convencional,,
Altra,Lone Peak 2.5,2016-02-03,329.0,329.0,135.0,,,,,Fácil/Rodador,Larga,Medio,Alta,Hilo,EVA Convencional,,
Chiruca,Raptor GTX,2016-01-26,488.0,488.0,125.9,,,,,Polivalente,Media,Pesado,Alta,Membrana,EVA Convencional,Vibram,
New Balance,Fresh Foam Hierro,2016-01-25,320.0,320.0,130.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,,Antirrocas
Brooks,Adrenaline GTS 16,2016-01-24,390.0,390.0,,,,,4.0,Fácil/Rodador,Ultra,Pesado,Media,Malla,EVA Bio/Orgánica,,
Salomon,SpeedCross Vario,2016-01-21,300.0,300.0,114.0,,,,35.0,Compacto/Roca,Media,Medio,Alta,Hilo,EVA Convencional,Salomon Contagrip,
Asics,Gel Fuji Pro W,2016-01-20,250.0,250.0,130.0,,,,3.0,Fácil/Rodador,Media,Ligero,Media,Malla,EVA Convencional,Asics AHAR,
Saucony,Nomad TR,2016-01-18,262.0,262.0,120.0,,,,,Fácil/Rodador,Ultra,Medio,Alta,Hilo,EVA Convencional,Saucony Pwrtrac,TPU
Asics,Fuji Sensor 3 W,2015-12-21,291.0,291.0,150.0,,,,3.0,Polivalente,Ultra,Pesado,Alta,Malla,EVA Convencional,Asics AHAR,
Saucony,Xodus 6.0,2015-12-14,344.0,344.0,140.0,,,,,Técnico,Larga,Medio,Alta,Hilo,EVA Convencional,Vibram,Antirrocas
Salomon,S-Lab Wings Softground,2015-12-13,279.0,279.0,179.0,,,,,Barro/Blando,Larga,Ligero,Alta,Tela,,Salomon Contagrip,Antirrocas
Asics,Gel Fuji Attack 4,2015-12-10,312.0,312.0,110.0,,,,,Polivalente,Maratón,Medio,Alta,,EVA Bio/Orgánica,Asics AHAR,
Salomon,S-Lab Wings,2015-12-09,267.0,267.0,179.0,,,,,Polivalente,Ultra,Ligero,Alta,Malla,EVA Convencional,Salomon Contagrip,
Inov-8,Race Ultra 270,2015-12-08,326.0,326.0,130.0,,,,4.0,Polivalente,Maratón,Ligero,Media,Malla,EVA Convencional,,Antirrocas
Asics,Gel Fuji Pro,2015-12-07,288.0,288.0,130.0,,,,3.0,Polivalente,Media,Ligero,Alta,,EVA Convencional,Asics AHAR,TPU
Nike,Zoom Wildhorse 3,2015-12-05,269.0,269.0,,,,,,Fácil/Rodador,Ultra,Medio,Media,Tela,EVA Convencional,,Antirrocas
Saucony,Xodus 6.0 W,2015-12-03,297.0,297.0,140.0,,,,6.0,Técnico,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,Antirrocas
Inov-8,Terraclaw 250,2015-11-30,270.0,270.0,139.0,8.0,,,,Barro/Blando,Maratón,Ligero,Alta,Malla,EVA Convencional,,
Asics,Fuji Trabuco 4,2015-11-25,346.0,346.0,120.0,,,,,Compacto/Roca,Larga,Pesado,Media,Piel/Cuero,EVA Convencional,Asics AHAR,
Salomon,S-Lab Speed,2015-11-22,307.0,307.0,179.0,,,,8.0,Barro/Blando,Media,Ligero,Baja,Malla,EVA Convencional,Salomon Contagrip,
Adidas,Adizero XT Boost,2015-11-17,283.0,283.0,,,,,,Polivalente,Media,Ligero,Baja,Malla,EVA Convencional,Continental,TPU
Dynafit,Feline Vertical Pro,2015-11-09,235.0,235.0,,,,,,Polivalente,Maratón,Ligero,Media,,,Vibram,Antirrocas
Merrell,All Out Terra Trail,2015-11-04,338.0,338.0,125.0,,,,6.0,Técnico,Maratón,Medio,Alta,,EVA Convencional,Vibram,
Adidas,Raven Boost,2015-11-02,277.0,277.0,140.0,10.0,26.0,16.0,65.0,Polivalente,Ultra,Medio,Alta,,EVA Convencional,Continental,
Nike,Zoom Terra Kiger 3 W,2015-10-28,232.0,232.0,140.0,,,,4.0,Fácil/Rodador,Media,Ligero,Baja,Malla,,,
Merrell,All Out Peak,2015-10-25,306.0,306.0,140.0,,,,,Fácil/Rodador,Ultra,Pesado,Alta,Malla,EVA Convencional,Vibram,
Merrell,All Out Charge W,2015-10-18,263.0,263.0,120.0,,,,5.0,Polivalente,Larga,Medio,Alta,Hilo,,,
Raidlight,Trail Dual Finger,2015-10-13,295.0,295.0,120.0,,,,,Fácil/Rodador,Larga,Medio,Alta,Malla,EVA Convencional,,
Hoka,Challenger ATR,2015-10-07,246.0,246.0,120.0,,,,,Fácil/Rodador,Ultra,Ligero,Media,Malla,EVA Convencional,,
New Balance,MT 10 Minimus v3,2015-10-04,191.0,191.0,,,,,,Fácil/Rodador,Corta,Ligero,Media,,EVA Convencional,Vibram,
Adidas,Terrex Boost,2015-09-30,389.0,389.0,160.0,,,,,Técnico,Media,Medio,Alta,Tela,TPU,Continental,
Scott,eRide Grip 4.0,2015-09-27,408.0,408.0,129.95,,,,4.0,Polivalente,Larga,Pesado,Alta,Malla,EVA Convencional,Vibram,
Altra,Superior 2.0,2015-09-23,286.0,286.0,,,,,,Polivalente,Ultra,Medio,Alta,Hilo,EVA Convencional,,Antirrocas
New Balance,MT 610v4,2015-09-20,311.0,311.0,70.0,,,,,Polivalente,Larga,Medio,Media,Malla,EVA Convencional,,
Adidas,Kanadia TR 7,2015-09-16,278.0,278.0,100.0,,,,5.0,Polivalente,Media,Ligero,Alta,Tela,EVA Convencional,,
Merrell,All Out Charge,2015-09-10,316.0,316.0,120.0,,,,5.0,Polivalente,Maratón,Medio,Alta,Malla,EVA Convencional,,
Scott,Trail Rocket 2.0,2015-09-07,259.0,259.0,109.0,,,,,Fácil/Rodador,Corta,Ligero,Media,Malla,EVA Convencional,,
Salomon,S-Lab Sense 4 Ultra,2015-08-26,233.0,233.0,169.99,,,,2.0,Técnico,Larga,Ligero,Media,,EVA Convencional,Salomon Contagrip,
Scott,Kinabalu Supertrac,2015-08-23,373.0,373.0,124.95,,,,,Barro/Blando,Maratón,Medio,Alta,,EVA Convencional,,
The North Face,Ultra TR II,2015-08-19,232.0,232.0,100.0,,,,,Compacto/Roca,Media,Ligero,Baja,Malla,EVA Convencional,Vibram,
Scott,T2 Kinabalu 3.0 - 2015,2015-08-12,351.0,351.0,124.95,,,,,Polivalente,Maratón,Medio,Alta,,EVA Convencional,,Antirrocas
New Balance,WT 1210 Leadville v2,2015-08-03,272.0,272.0,125.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,TPU
Topo Athletic,Runventure,2015-07-26,300.0,300.0,,,,,4.0,Polivalente,Larga,Medio,Alta,,EVA Convencional,,Antirrocas
Saucony,Peregrine 5,2015-07-20,312.0,312.0,,,,,,Polivalente,Media,Medio,Alta,Malla,EVA Convencional,,Antirrocas
Haglöfs,Gram Comp II,2015-07-14,311.0,311.0,,,,,,Polivalente,Maratón,Ligero,Alta,Malla,EVA Bio/Orgánica,Asics AHAR,TPU
Nike,Zoom Terra Kiger 2 W,2015-07-08,211.0,211.0,140.0,,,,3.0,Polivalente,Corta,Ligero,Baja,Hilo,,Sticky Rubber (Caucho Adherente),Antirrocas
Dynafit,Feline X7,2015-07-01,293.0,293.0,160.0,,,,,Técnico,Maratón,Ligero,Media,,,Vibram,TPU
Salomon,Wings Pro 2015,2015-06-25,404.0,404.0,134.99,,,,3.0,Técnico,Larga,Pesado,Alta,Malla,EVA Convencional,Salomon Contagrip,
Ecco,Biom Trail FL W,2015-06-19,279.0,279.0,,,,,2.0,Fácil/Rodador,Larga,Medio,Alta,Malla,TPU,,
La Sportiva,Helios SR,2015-06-15,190.0,230.0,149.99,2.0,,,,Compacto/Roca,Media,Ligero,Baja,Hilo,EVA Convencional,La Sportiva Frixion,
Nike,Zoom Wildhorse 2,2015-06-13,278.0,278.0,120.0,,,,,Polivalente,Media,Medio,Baja,Malla,EVA Convencional,,TPU
The North Face,Ultra MT,2015-06-08,268.0,268.0,130.0,,,,,Barro/Blando,Larga,Medio,Media,Malla,EVA Convencional,Vibram,
Adidas,Response TR Boost,2015-06-06,335.0,335.0,,,,,,Polivalente,Larga,Medio,Media,Malla,TPU,Continental,Antirrocas
Salming,Trail T1,2015-06-02,272.0,272.0,,,,,,Polivalente,Larga,Medio,Media,Hilo,EVA Convencional,Blown Rubber (Caucho Expandido),
Ecco,Biom Trail FL,2015-06-01,314.0,314.0,,,,,5.0,Compacto/Roca,Media,Ligero,Alta,Malla,EVA Convencional,,
La Sportiva,Mutant 2015,2015-05-27,320.0,320.0,130.0,10.0,29.0,19.0,,Barro/Blando,Maratón,Medio,Baja,Malla,EVA Convencional,La Sportiva Frixion,
New Balance,WT 110v2,2015-05-25,185.0,185.0,90.0,,,,4.0,Fácil/Rodador,Media,Ligero,Media,Hilo,EVA Convencional,,
Altra,Lone Peak 2.0 W,2015-05-21,283.0,283.0,135.0,,,,,Polivalente,Larga,Medio,Alta,,EVA Convencional,,
Under Armour,SpeedForm XC,2015-05-19,256.0,256.0,110.0,,,,2.0,Compacto/Roca,Media,Ligero,Baja,Aislamiento,,,
Altra,The Olympus,2015-05-07,364.0,364.0,145.0,,,,,Fácil/Rodador,Ultra,Medio,Alta,Tela,EVA Convencional,Sticky Rubber (Caucho Adherente),
Adidas,Riot 6 W,2015-05-02,269.0,269.0,130.0,,,,4.0,Polivalente,Maratón,Medio,Media,Malla,EVA Convencional,Continental,
New Balance,MT 1210 Leadville v2,2015-04-30,333.0,333.0,125.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,TPU,Vibram,TPU
Scott,T2 Kinabalu HS,2015-04-27,294.0,294.0,129.95,,,,,Polivalente,Larga,Medio,Alta,,EVA Convencional,,Antirrocas
Topo Athletic,MT,2015-04-19,232.0,232.0,,,,,,Fácil/Rodador,Media,Ligero,Media,Hilo,,,
Mizuno,Wave Mujin,2015-04-13,313.0,313.0,,,,,,Compacto/Roca,Larga,Medio,Alta,Malla,EVA Convencional,,
Mizuno,Wave Kazan,2015-04-07,274.0,274.0,,,,,,Barro/Blando,Media,Ligero,Media,,EVA Convencional,,Carbono
Saucony,Xodus 5.0,2015-04-06,324.0,324.0,120.0,,,,,Polivalente,Larga,Pesado,Alta,Hilo,EVA Convencional,Vibram,Antirrocas
Scarpa,Minima,2015-03-31,312.0,312.0,,,,,,Compacto/Roca,Corta,Ligero,Media,Malla,EVA Convencional,Vibram,
Salomon,Spikecross 3 CS,2015-03-25,320.0,320.0,160.0,,,,2.0,Barro/Blando,Media,Medio,Alta,,EVA Convencional,,
Mizuno,Wave Hayate,2015-03-20,260.0,260.0,,,,,,Fácil/Rodador,Media,Ligero,Alta,Malla,EVA Convencional,,Antirrocas
Inov-8,Bare-Grip 200 - 2014,2015-03-19,260.0,260.0,,,,,10.0,Técnico,Media,Ligero,Media,Malla,,,
Brooks,Cascadia 10,2015-03-17,335.0,335.0,,,,,4.0,Polivalente,Ultra,Medio,Alta,Malla,EVA Bio/Orgánica,Compuesto Ecológico (Green),TPU
Scarpa,Enduro,2015-03-15,470.0,470.0,,,,,,Compacto/Roca,Ultra,Pesado,Alta,Malla,EVA Convencional,Vibram,
Boreal,Reptile,2015-03-10,364.0,364.0,,,,,,Técnico,Maratón,Medio,Alta,Keblar,EVA Convencional,Vibram,
Altra,The Superior 1.5,2015-03-02,330.0,330.0,125.0,,,,,Fácil/Rodador,Media,Medio,Media,Malla,EVA Convencional,,
Columbia,PeakFreak Enduro OutDry,2015-02-25,377.0,377.0,109.95,,,,,Polivalente,Larga,Pesado,Media,Keblar,EVA Convencional,Columbia Omni-Grip,
Saucony,Excursion TR 8,2015-02-16,323.0,323.0,75.0,,,,,Polivalente,Ultra,Medio,Alta,,EVA Convencional,Saucony XT,
New Balance,WT00v2,2015-02-10,218.0,218.0,110.0,,,,,Barro/Blando,Media,Ligero,Media,Malla,,,
Asics,Fuji Trabuco 3,2015-02-02,372.0,372.0,,,,,,Polivalente,Maratón,Pesado,Alta,Malla,EVA Convencional,Asics AHAR,Antirrocas
